book_id,book_title,book_author,publication_year,classification_level_1,classification_level_2,classification_level_3
1188,2nd IEEE Computer Society Bioinformatics Conference (CSB 2003),"International IEEE Computer Society Computational Systems Bioinformatics Conference (2003 : Stanford, Calif.); IEEE Computer Society Staff Corporate Author",2003,Natural Sciences and Mathemetics,Life sciences; biology,Biochemistry
1189,2nd IEEE International Symposium on Network Computing and Applications,"IEEE International Symposium on Network Computing and Applications Cambridge, Mass.) 2003 : (2nd :; IEEE Computer Society Staff Corporate Author",2003,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1190,"2nd IEEE/IFIP International Workshop on Business-Driven IT Management : information technology management from a business perspective : May 21, 2007, Munich, Germany","IEEE/IFIP International Workshop on Business-Driven IT Management Munich, Germany) 2007 : (2nd :; IEEE/IFIP International Workshop on Business-Driven IT Management Corporate Author",2007,Technology,Management & auxiliary services,General management
1191,"2nd International Multidisciplinary Microscopy and Microanalysis Congress : proceedings of InterM, October 16-19, 2014 ","International Multidisciplinary Microscopy Congress O?lu?deniz, Turkey) 2014 : (2nd :",2015,Natural Sciences and Mathemetics,Science,Miscellany
1192,2nd International Workshop on Practical Applications of Computational Biology and Bioinformatics (IWPACBB 2008) ,"International Workshop on Practical Applications of Computational Biology and Bioinformatics Salamanca, Spain) 2008 : (2nd :",2009,Natural Sciences and Mathemetics,Life sciences; biology,Life sciences; biology
1193,30 St Mary Axe : a tower for London ,"Powell, Ken, 1947-",2006,The arts; fine & decorative arts,Architecture,Public structures
1194,300% cotton : more t-shirt graphics ,"Walters, Helen.",2006,The arts; fine & decorative arts,Drawing & decorative arts,Textile arts
1195,3004.11-2019 - IEEE Recommended Practice for Bus and Switchgear Protection in Industrial and Commercial Power Systems ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2019,Technology,Engineering & allied operations,Applied physics
1196,303 digital filmmaking solutions ,"Gloman, Chuck B.",2003,The arts; fine & decorative arts,"Photography, photographs & computer art",Fields & kinds of photography
1197,308-2020 - IEEE Standard Criteria for Class 1E Power Systems for Nuclear Power Generating Stations ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2020,Technology,Engineering & allied operations,Applied physics
1198,30th Biennial Symposium on Communications 2021 ,Biennial Symposium on Communications Online) 2021 : (30th :,2022,Technology,Engineering & allied operations,Applied physics
1199,31st Annual Conference of IEEE Industrial Electronics,"Institute of Electrical and Electronics Engineers, author, issuing body.",2005,Technology,Engineering & allied operations,Applied physics
1200,"32nd Euromicro Conference on Software Engineering and Advanced Applications (SEAA) : proceedings : Cavtat/Dubrovnik (Croatia), August 29 - September 1, 2006","EUROMICRO Conference on Software Engineering and Advanced Applications Cavtat, Croatia) 2006 : (32nd :; EUROMICRO Conference on Software Engineering and Advanced Applications Corporate Author",2006,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1201,"3303-2023 - IEEE Standard Adoption of Moving Picture, Audio and Data Coding by Artificial Intelligence (MPAI) Technical Specification Compression and Understanding of Industrial Data 1.1 ","Institute of Electrical and Electronics Engineers, author, issuing body.",2023,"Computer science, information & general works","Computer science, knowledge & systems",Systems
1202,"336-2020 : IEEE recommended practice for installation, inspection, and testing for class 1E power, instrumentation, and control equipment at nuclear facilities - redline ","Institute of Electrical and Electronics Engineers, author, issuing body.",2020,Technology,Engineering & allied operations,Applied physics
1203,"34th European Microwave Conference 2004 : conference proceedings : Tuesday 12th, Wednesday 13th and Thursday 14th October","European Microwave Conference Amsterdam, Netherlands) 2004 : (34th :; European Microwave Conference Corporate Author",2004,Technology,Engineering & allied operations,Applied physics
1204,37th Hemophilia Symposium : Hamburg 2006 ,"Hemophilia Symposium Hamburg, Germany) 2006 : (37th :",2008,Technology,Medicine & health,Diseases
1205,3D biometrics : systems and applications ,"Zhang, David, 1949-",2013,Natural Sciences and Mathemetics,Life sciences; biology,Life sciences; biology
1206,3D bioprinting in tissue and organ regeneration ,"Wu, Yang, author.",2023,Technology,Medicine & health,Diseases
1207,3D FEA simulations in machining ,"Kyratsis, Panagiotis.",2023,Technology,Manufacturing,Metalworking & primary metal products
1208,3D histology evaluation of dermatologic surgery ,"Breuninger, Helmut.",2013,Technology,Medicine & health,Surgery & related medical specialties
1209,3D imaging technologies -- Multi-dimensional signal processing and deep learning : mathematical approaches and applications.,"International Conference on 3D Imaging Technologies -- Multi-Dimensional Signal Processing and Deep Learning Kunming, China) 2020 : (2nd :",2021,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1210,3D interconnect architectures for heterogeneous technologies : modeling and optimization ,"Bamberg, Lennart.",2022,Technology,Engineering & allied operations,Applied physics
1211,3D printed science projects.,"Horvath, Joan, author.",2017,Technology,Engineering & allied operations,Applied physics
1212,3-D shape estimation and image restoration : exploiting defocus and motion blur ,"Favaro, Paolo.",2007,Technology,Engineering & allied operations,Applied physics
1213,"3D TCAD simulation for semiconductor processes, devices and optoelectronics ","Li, Simon.",2012,Technology,Engineering & allied operations,Applied physics
1214,"3DPVT 2006 : Third International Symposium on 3D Data Processing, Visualization, and Transmission : June 14-16, 2006, University of North Carolina, Chapel Hill, USA","International Symposium on 3D Data Processing, Visualization and Transmission Chapel Hill, N.C.) 2006 : (3rd :; International Symposium on 3D Data Processing, Visualization and Transmission Corporate Author",2007,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1215,3ds Max 2011 bible,"Murdock, Kelly.",2010,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1216,3ds Max 8 bible ,"Murdock, Kelly.",2006,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1217,"3DTV-CON : 2018 - 3DTV-Conference: The True Vision - Capture, Transmission and Display of 3D Video : June 3-5, 2018 ","3DTV Conference Helsinki, Finland) (2018 :",2018,Technology,Manufacture for specific uses,Precision instruments & other devices
1218,3rd EAI International Conference on Robotic Sensor Networks : ROSENET 2019 ,"EAI International Conference on Robotic Sensor Networks Kitakyu?shu?-shi, Japan) 2019 : (3rd :",2021,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1219,3rd IEEE international conference on adaptive science and technology (ICAST 2011) ,"IEEE, author.",2011,Technology,Technology,Technology (Applied sciences)
1220,3rd IEEE International Workshop on Source Code Analysis and Manipulation (SCAM 2003),"IEEE Computer Society Staff, author.",2003,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1221,"3rd International Conference on 3-D Imaging and Modeling (3dIM 2001), Quebec City, Canada","International Conference on 3-D Digital Imaging and Modeling Que?bec, Que?bec) 2001 : (3rd :; International Conference on 3-D Digital Imaging and Modeling Corporate Author",2001,Technology,Engineering & allied operations,Applied physics
1222,3rd International Conference on Control Theory and Applications (ICoCTA 2023) ,"Institution of Engineering and Technology, author, issuing body.",2023,Technology,Engineering & allied operations,Other branches of engineering
1223,40 years of China's war on poverty ,"Zhu, Xinkai, author.",2022,Social sciences,Social problems & services; associations,Social welfare problems & services
1224,40th anniversary briefing paper : food availability and our changing diet ,"Foster, R.",2007,Technology,Medicine & health,Personal health & safety
1225,"45th AIAA Fluid Dynamics Conference 2015 : Dallas, Texas, USA, 22-26 June 2015; held at the AIAA Aviation Forum 2015","AIAA Computational Fluid Dynamics Conference Dallas, Texas) 2015 : (45th :",2015,Technology,Engineering & allied operations,Other branches of engineering
1226,"49th AIAA/ASME/SAE/ASEE Joint Propulsion Conference : July 14?17, 2013, San Jose, CA.","AIAA/ASME/SAE/ASEE Joint Propulsion Conference 2013 : San Jose, Calif.) (49th :",2013,Technology,Engineering & allied operations,Other branches of engineering
1227,49th International Conference on Parallel Processing - ICPP : Workshops ,"Association for Computing Machinery, author, issuing body.",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1228,"4th Colloquium on Antennas, Wireless and Electromagnetics : 26 May 2016, Glasgow, UK ","Institute of Electrical and Electronics Engineers, author.",2017,Technology,Engineering & allied operations,Applied physics
1229,4th EAI International Conference on Management of Manufacturing Systems : MMS 2019 ,"European Alliance for Innovation International Conference on Management of Manufacturing Systems Krynica, Nowy Sac?z, Poland) 2019 : (4th :",2020,Technology,Management & auxiliary services,General management
1230,4th International Conference on Artificial Intelligence and Applied Mathematics in Engineering : ICAIAME 2022 ,"International Conference on Artificial Intelligence and Applied Mathematics in Engineering Baku, Azerbaijan) 2022 : (4th :",2023,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1231,4th International Conference on Biomedical Engineering in Vietnam ,"International Conference on the Development of Biomedical Engineering in Vietnam Ho Chi Minh City, Vietnam) 2012 : (4th :",2013,Technology,Medicine & health,Medicine & health
1232,4th International Conference on Internet of Things and Connected Technologies (ICIoTCT) 2019 : Internet of Things and Connected Technologies ,"International Conference on Internet of Things and Connected Technologies Jaipur, India) 2019 : (4th :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1233,4th International Symposium on Uncertainty Modeling and Analysis (ISUMA 2003),"International Symposium on Uncertainty Modeling and Analysis College Park, Md.) 2003 : (4th :; International Symposium on Uncertainty Modeling and Analysis Corporate Author",2003,Natural Sciences and Mathemetics,Mathematics,General principles of mathematics
1234,"4th Students' Conference on Engineering and Systems : SCES2015 : November 06-08, 2015 at Department of Electrical Engineering, Motilal Nehru National Institute of Technology, Allahabad ","Institute of Electrical and Electronics Engineers, author, issuing body.",2015,Technology,Engineering & allied operations,Applied physics
1235,50 top tools for coaching : a complete toolkit for developing and empowering people ,"Jones, Gillian, author.",2012,Technology,Management & auxiliary services,General management
1236,50 ways to excel at writing ,"Cottrell, Stella author.",2019,Literature & rhetoric,"Literature, rhetoric & criticism",Rhetoric & collections of literature
1237,5000 years of geometry : mathematics in history and culture ,"Scriba, Christoph J., author.",2015,Natural Sciences and Mathemetics,Mathematics,Geometry
1238,"51st annual technical conference proceedings : April 19-24, 2008, Chicago, IL, USA ","Society of Vacuum Coaters. Technical Conference Chicago, Ill.) 2008 : (51st :",2008,Technology,Manufacturing,Metalworking & primary metal products
1239,53 interesting ways of helping your students to study ,"Habeshaw, Trevor.",1989,Social sciences,Education,Schools & their activities; special education
1240,53rd Conference Electronic Components and Technology,"IEEE Components, Packaging and Manufacturing Technology Society Staff Corporate Author",2003,Technology,Engineering & allied operations,Applied physics
1241,57-1959 : IEEE/AIEE Test Procedure for Evaluation of the Thermal Stability of Enameled Wire in Air ,"Institute of Electrical and Electronics Engineers, author, issuing body.",1959,Philosophy & psychology,Psychology,Psychology
1242,59th ARFTG Conference,"Institute of Electrical and Electronics Engineers, author, issuing body.",2002,Technology,Engineering & allied operations,Applied physics
1243,"5G and beyond wireless transport technologies : enabling backhaul, midhaul, and fronthaul ","Morais, Douglas H.",2021,Technology,Engineering & allied operations,Applied physics
1244,"5G for future wireless networks : first International Conference, 5GWN 2017, Beijing, China, April 21-23, 2017, Proceedings ","International Conference on 5G for Future Wireless Networks Beijing, China) 2017 : (1st :",2018,Technology,Engineering & allied operations,Applied physics
1245,"5G NR, Wi-Fi 6, and Bluetooth LE 5 : a primer on smartphone wireless technologies ","Morais, Douglas H., author.",2023,Technology,Engineering & allied operations,Applied physics
1246,5-membered heterocycle synthesis using iodine ,"Kaur, Navjeet, author.",2023,Natural Sciences and Mathemetics,Chemistry & allied sciences,Organic chemistry
1247,5th IEEE International Workshop on Object-Orientation in Operating Systems,IEEE Computer Society Staff Corporate Author,1996,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1248,"5th International Conference on Intelligent Systems Design and Applications : Wroclaw, Poland, September 8-10, 2005 : proceedings","International Conference on Intelligent Systems Design and Applications Wroc?aw, Poland) 2005 : (5th :; International Conference on Intelligent Systems Design and Applications Corporate Author",2005,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1249,5th International Symposium on Autonomous Decentralized Systems (ISADS 2001),IEEE Computer Society Staff Corporate Author,2001,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1250,5th International Symposium on Data Mining Applications ,"International Symposium on Data Mining Applications Riyadh, Saudi Arabia) 2018 : (5th :",2018,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1251,5th Joint International Conference on Data Science & Management of Data (9th ACM IKDD CODS and 27th COMAD) ,"Association for Computing Machinery, author, issuing body.",2022,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1252,"5th report : bovine spongiform encephalopathy (BSE), report and proceedings of the Committee, together with minutes of evidence and appendices ",Great Britain. Parliament. House of Commons. Agriculture Committee.,1990,Social sciences,Social problems & services; associations,Other social problems & services
1253,60 works : the Peggy Guggenheim Collection ,Solomon R. Guggenheim Museum issuing body.,1982,The arts; fine & decorative arts,Painting & paintings,"Historical, geographic & persons treatment"
1254,61523-1-2023 - IEEE/IEC International Standard--Delay and power calculation standards. Integrated Circuit (IC) Open Library Architecture (OLA) ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,Technology,Engineering & allied operations,Applied physics
1255,61588-2021 - IEC/IEEE international standard - precision clock synchronization protocol for networked measurement and control systems ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems",Systems
1256,61636-2021 - International Standard-Software Interface for Maintenance Information Collection and Analysis (SIMICA) ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1257,61691-6-2021 - IEC/IEEE international standard-behavioural languages-part 6: VHDL analog and mixed-signal extensions ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1258,"62 IRE 12.S1 (IEEE 174) : IRE Standards on Navigation Aids: Definitions of Inertial Navigation Terms, 1962 ","Institute of Electrical and Electronics Engineers, author, issuing body.",1961,Technology,Engineering & allied operations,Mining & related operations
1259,62142-2005 - IEC/IEEE iInternational standard - Verilog(R) Register Transfer Level synthesis ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2002,Technology,Engineering & allied operations,Applied physics
1260,"62265-2005 : IEC/IEEE standard for advanced library format (ALF) describing integrated circuit (IC) technology, cells, and blocks (adoption of IEEE Std 1603-2003) ","Institute of Electrical and Electronics Engineers, author, issuing body.",2004,Technology,Engineering & allied operations,Applied physics
1261,62271-37-013-2021 : IEEE/IEC International Standard for High-voltage switchgear and controlgear--Part 37-013: Alternating current generator circuit-breakers ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
1262,62582-4-2022 - IEC/IEEE International Standard - Nuclear power plants - Instrumentation and control important to safety - Electrical equipment condition monitoring methods.,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Technology,Medicine & health,Diseases
1263,6G : sustainable development for rural and remote communities ,"Dixit, Sudhir, author.",2022,Technology,Engineering & allied operations,Applied physics
1264,"6th International Conference on Advancements of Medicine and Health Care Through Technology ; 17-20 October 2018, Cluj-Napoca, Romania : Meditech 2018 ","International Conference on Advancements of Medicine and Health Care Through Technology Cluj-Napoca, Romania) 2018 : (6th :",2019,Technology,Medicine & health,Medicine & health
1265,"6th International Conference on Digital Libraries for Musicology : 9th November 2019, National Library of the Netherlands, the Hague, Netherlands ","Rizo, David, author.",2019,"Computer science, information & general works",Library & information sciences,Library operations
1266,"6th International Conference on Neural Information Processing : proceedings : 16-20 November 1999, Perth, WA, Australia ","International Conference on Neural Information Processing Perth, W.A.) 1999 : (6th :; IEEE, Western Australia Section Staff Corporate Author",1999,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
1267,"6th International Symposium on Atennas, Propagation and Em Theory","International Symposium on Antennas, Propagation, and EM Theory Beijing, China) 2003 : (6th :; IEEE, Antennas and Propagation Society Staff Corporate Author",2003,Technology,Engineering & allied operations,Applied physics
1268,"6th International Symposium on High-Temperature Metallurgical Processing : proceedings of a symposium sponsored by the Minerals, Metals & Materials Society (TMS) held during TMS 2015, 144th Annual Meeting & Exhibition, March 15-19, 2015, Walt Disney World, Orlando, Florida, USA ","International Symposium on High-Temperature Metallurgical Processing Orlando, Fla.) 2015 : (6th :",2016,Technology,Engineering & allied operations,Engineering & allied operations
1269,7 steps to a pain-free life : how to rapidly relieve back and neck pain using the McKenzie method ,"McKenzie, Robin, 1931- MACKENZIE M'KENZIE",2000,Technology,Medicine & health,Surgery & related medical specialties
1270,70 years of opening-up in China's education ,"Sun, Xiaobing, author.",2022,Social sciences,Education,Education
1271,7000-2021 : IEEE Standard Model Process for Addressing Ethical Concerns during System Design ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Management & auxiliary services,General management
1272,"72nd ARFTG Microwave Measurement Symposium : 9-12 Dec. 2008, Portland, OR, USA ","ARFTG Microwave Measurement Symposium Portland, Or.) 2008 : (72nd :",2008,Technology,Engineering & allied operations,Applied physics
1273,"7th IEEE Intelligent Network Workshop : proceedings : 13 May 1998, Bordeaux, France ","IEEE Intelligent Network Workshop Bordeaux, France) 1998 : (7th :; IEEE Intelligent Network Workshop Corporate Author",1998,Technology,Engineering & allied operations,Applied physics
1274,7th International Munich Chassis Symposium 2016 : chassis.tech plus ,"International Munich Chassis Symposium Munich, Germany) 2016 : (7th :",2016,Technology,Engineering & allied operations,Other branches of engineering
1275,"7th International Workshop on Equation-Based Object-Oriented Modeling Languages and Tools : Milano, Italy, April 18, 2016 : proceedings ","Casella, Francesco, author.",2016,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1276,802.11-2020 - EEE standard for information technology--telecommunications and information exchange between systems - local and metropolitan area networks--specific requirements - part 11: wireless LAN medium access control (MAC) and physical layer (PHY) ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1277,802.11bb-2023 - IEEE Standard for Information Technology--Telecommunications and Information Exchange between Systems Local and Metropolitan Area Networks--Specific Requirements. Wireless LAN Medium Access Control (MAC) and Physical Layer (PHY) Specifications Amendment 6: Light Communications ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1278,802.1ABdh-2021 - IEEE Standard for Local and metropolitan area networks-- Station and Media Access Control Connectivity Discovery.,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1279,802.3-2022 : IEEE Standard for Ethernet ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1280,802.3cm-2020 - IEEE Standard for Ethernet.,"Institute of Electrical and Electronics Engineers, author, issuing body.",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1281,802.3cr-2021 - IEEE Standard for Ethernet Amendment 10 : Maintenance #14: Isolation ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Social sciences,Economics,Production
1282,802.3cv-2021 - IEEE Standard for Ethernet Amendment 12 : Maintenance #15: Power over Ethernet ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1283,802.3cx-2023 - IEEE Standard for Ethernet Amendment 6 : Media Access Control (MAC) Service Interface and Management Parameters to Support Improved Precision Time Protocol (PTP) Timestamping Accuracy ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,Philosophy & psychology,Psychology,"Perception, movement, emotions & drives"
1284,8802-1AE:2020/Cor1-2021 : ISO/IEC/IEEE International Standard - Information technology - Telecommunications and exchange between information technology systems -- Requirements for local and metropolitan area networks--Part 1AE: Media access control (MAC) security -TECHNICAL CORRIGENDUM 1: Tag control information figure ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
1285,8802-1CM-2019 - ISO/IEC/IEEE International Standard - Telecommunications and information exchange between information technology systems - Requirements for local and metropolitan area networks - Part 1CM : Time-sensitive networking for fronthaul ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2019,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1286,8802-3 :2021/Amd 12-2022 - ISO/IEC/IEEE International Standard - Telecommunications and exchange between information technology systems--Requirements for local and metropolitan area networks. Standard for Ethernet AMENDMENT 12: Maintenance #15: Power over Ethernet ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1287,"8802-3:2021/Amd 14-2022 - IEEE/ISO/IEC International Standard - Telecommunications and exchange between information technology systems--Requirements for local and metropolitan area networks. Standard for Ethernet AMENDMENT 14 : Bidirectional 10 Gb/s, 25 Gb/s, and 50 Gb/s optical access PHYs ","Institute of Electrical and Electronics Engineers, author, issuing body.",2022,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1288,"8th European Medical and Biological Engineering Conference : proceedings of the EMBEC 2020, November 29-December 3, 2020, Portoroz?, Slovenia ",European Medical & Biological Engineering Conference 2020) (8th :,2021,Technology,Medicine & health,Medicine & health
1289,"8th FPNI Ph.D Symposium on Fluid Power : design in fluid power systems and components : June 11-13, 2014, Lappeenranta, Finland ","FPNI Ph.D Symposium on Fluid Power Lappeenranta, Finland) 2014 : (8th :",2014,Technology,Engineering & allied operations,Applied physics
1290,8th International Conference on Advanced Composite Materials in Bridges and Structures.,International Conference on Advanced Composite Materials in Bridges and Structures 2021) (8th :,2023,Technology,Buildings,Building materials
1291,"8th International Conference on Engineering, Project, and Product Management (EPPM 2017) : Proceedings ","International Conference on Engineering, Project, and Product Management Amman, Jordan) 2017 : (8th :",2018,Technology,Management & auxiliary services,General management
1292,8th International Conference on the Engineering of Computer-Based Systems (ECBS 2001),"IEEE International Conference and Workshop on the Engineering of Computer Based Systems Washington, D.C.) 2001 : (8th :; IEEE Computer Society Staff Corporate Author",2001,Technology,Engineering & allied operations,Engineering & allied operations
1293,9 commentaries on Frank Lloyd Wright ,"Kaufmann, Edgar.",1989,The arts; fine & decorative arts,Architecture,Architecture
1294,937-2019 - IEEE Recommended Practice for Installation and Maintenance of Lead-Acid Batteries for Photovoltaic (PV) Systems ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2020,Technology,Engineering & allied operations,Applied physics
1295,946-2020 - IEEE Recommended Practice for the Design of DC Power Systems for Stationary Applications - Redline ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2020,Technology,Engineering & allied operations,Applied physics
1296,9H No 9 : on continuity ,"Diamond, Rosamund.",1994,The arts; fine & decorative arts,Architecture,Architecture from 1400
1297,"9th International Conference on Mobility, IoT and Smart Cities : EAI Mobility IoT 2022 ","International Conference on Mobility, IoT and Smart Cities Bratislava, Slovakia ; Online) 2022 : (9th :",2023,Social sciences,"Social sciences, sociology & anthropology",Communities
1298,"9th International Conference on Robotic, Vision, Signal Processing and Power Applications : empowering research and innovation ","International Conference on Robotic, Vision, Signal Processing & Power Applications Pulau Pinang, Malaysia) 2016 : (9th :",2017,Technology,Engineering & allied operations,Other branches of engineering
1299,A Barthes reader,"Barthes, Roland.",2000,Literature & rhetoric,Literatures of Romance languages,Literatures of Romance languages
1300,A basic course in statistics ,"Clarke, G M (Geoffrey Mallin).",1992,Natural Sciences and Mathemetics,Mathematics,Probabilities & applied mathematics
1301,A beginner's guide to economic research and presentation ,"Edwards, Jeffrey A., author.",2013,Social sciences,Economics,Economics
1302,A beginner's guide to lasers and their applications.,"Biswas, Dhruba J., author.",2023,Technology,Engineering & allied operations,Applied physics
1303,A beginner's guide to mass spectral interpretation ,"Lee, Terrence Allan.",1998,Natural Sciences and Mathemetics,Chemistry & allied sciences,Analytical chemistry
1304,A beginners guide to Python 3 programming ,"Hunt, John.",2023,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1305,A beginners guide to the microchip PIC ,"Gardner, Nigel.",1998,Technology,Engineering & allied operations,Applied physics
1306,A behavioral economics approach to interactive information retrieval : understanding and supporting boundedly rational users ,"Liu, Jiqun, author.",2023,"Computer science, information & general works",Library & information sciences,Library operations
1307,A behavioral theory of the firm ,"Cyert, Richard Michael, 1921-",1992,Technology,Management & auxiliary services,General management
1308,A better quality of life : a strategy for sustainable development for the United Kingdom ,"Great Britain. Department of the Environment, Transport and the Regions",1999,Social sciences,Economics,Economics of land & energy
1309,A better world for children? : explorations in morality and authority ,"King, Michael, 1942-",1997,Social sciences,Social problems & services; associations,Social welfare problems & services
1310,"A bibliography of nursing literature, 1961-1970 ","Thompson, Alice Mary Charlotte.",1974,"Computer science, information & general works",Bibliography,Bibliographies of works on specific subjects
1311,A bill to amend and supplement the Independent Broadcasting Authority Act 1973 in connection with the provision by the Independent Broadcasting Authority of a second television service... ,Great Britain. Parliament. House of Commons.,1980,Social sciences,"Commerce, communications & transportation",Communications; telecommunication
1312,"A biographical dictionary of architects in Ireland, 1600 - 1720 ","Loeber, Rolf.",1981,The arts; fine & decorative arts,Architecture,Architecture
1313,A bloke's diagnose-it-yourself guide to health ,"Hopcroft, Keith.",2000,Technology,Medicine & health,Diseases
1314,A book of scripts ,"Fairbank, Alfred.",1960,The arts; fine & decorative arts,Drawing & decorative arts,Decorative arts
1315,A branch-and-bound algorithm for multiobjective mixed-integer convex optimization ,"Rockta?schel, Stefan.",2020,Natural Sciences and Mathemetics,Mathematics,Probabilities & applied mathematics
1316,"A brief atlas of the skeleton, surface anatomy, and selected medical images ","Tortora, Gerard J.",2006,Technology,Medicine & health,Human physiology
1317,A brief history of colour theory : foundations of colour science ,"Pavlidis, George, 1970- author.",2021,Natural Sciences and Mathemetics,Physics,Light & infrared & ultraviolet phenomena
1318,A brief history of computing ,"O'Regan, Gerard author. (Cornelius Gerard),",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
1319,A brief history of time ,"Hawking, Stephen, 1942-2018.",1998,Natural Sciences and Mathemetics,Physics,Physics
1320,A brief introduction to social work theory,"Howe, David, 1946-",2009,Social sciences,Social problems & services; associations,Social problems & social welfare in general
1321,A Brief Introduction to Web3 : Decentralized Web Fundamentals for App Development.,"Jain, Shashank Mohan.",2023,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
1322,"A briefing on self, peer and group assessment ","Race, Philip.",2001,Social sciences,Education,Higher education
1323,A brighter future : joint report on long-stay care for people with dementia in Scotland ,"Dementia Services Development Centre (University of Stirling); Killeen, Jan.",1994,Social sciences,Social problems & services; associations,Social welfare problems & services
1324,A brown and pleasant land : household growth and brownfield sites ,"Kass, Gary.",1998,The arts; fine & decorative arts,Civic & landscape art,Area planning
1325,A businessman's guide to the foreign exchange markets ,"Kettell, Brian.",1985,Social sciences,Economics,Financial economics
1326,A buyer's and user's guide to astronomical telescopes and binoculars ,"Mullaney, James, 1940- author.",2014,Natural Sciences and Mathemetics,Astronomy & allied sciences,"Techniques, equipment & materials"
1327,A Caledonian feast ,"Hope, Annette.",2002,Technology,Home & family management,Food & drink
1328,A carer's resource book ,Voluntary Service Aberdeen.,1991,Social sciences,Social problems & services; associations,Social welfare problems & services
1329,A caring advanced practice nursing model : theoretical perspectives and competency domains ,"Fagerstro?m, Lisbeth Maria, 1960- author.",2021,Technology,Medicine & health,Medicine & health
1330,A casebook on repairs ,"Williams, D. W. (Del W.)",1987,Social sciences,Law,Private law
1331,A casebook on Roman family law,"Frier, Bruce W., 1943-",2004,Social sciences,Law,Private law
1332,"A catalog of the gifts of Lessing J. Rosenwald to the Library of Congress, 1943 to 1975.",Library of Congress.,1977,"Computer science, information & general works",Bibliography,Bibliographies of works on specific subjects
1333,A century of DNA : a history of the discovery of the structure and function of the genetic substance ,"Portugal, Franklin H.",1977,Natural Sciences and Mathemetics,Chemistry & allied sciences,Organic chemistry
1334,A century of homeopaths : their influence on medicine and health ,"Davidson, Jonathan R. T., 1943- author.",2014,Technology,Medicine & health,Pharmacology & therapeutics
